"","Year","Player","Salary","Pos","Age","G","GS","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","FG%","3P%","2P%","eFG%","FT%","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","bpm","team_ts","tm_ts_w_o_plyr","defense","val_shot","offense","raw_spm","exp_bpm","truetalentbpm","truetalentvorp"
"575",1991,"Doc Rivers",0.0956,"PG",29,79,79,32.7341772151899,16.2,0.527,0.257,0.257,1.9,9,5.3,19.5,2.8,1.1,9.9,20.1,4.1,2.2,6.3,0.116,2.1,0,2.2,2.7,0.435,0.336,0.47,0.478,0.844,0.594936708860759,2.60759493670886,4.30379746835443,1.87341772151899,0.594936708860759,1.58227848101266,2.73417721518987,15.1518987341772,1.9,0.539,0.541,1.22,0.14,0.5,1.99,1.2,1.7,2.7
"11524",2011,"Trevor Ariza",0.116991248018744,"SF",25,75,75,34.6666666666667,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10,2.5,1,12.2,17.7,-0.4,3.8,3.4,0.062,-1.2,2.3,1.1,2,0.398,0.303,0.45,0.451,0.701,0.813333333333333,4.62666666666667,2.16,1.6,0.413333333333333,1.57333333333333,2.4,11.0133333333333,-0.9,0.513,0.511,0.53,-0.05,2.72,0.49,-3.4,-2.1,0
"7580",2005,"Brad Miller",0.176767676767677,"C",28,56,56,37.3035714285714,20.7,0.596,0.031,0.471,7.4,20.4,13.9,16.1,1.7,2.3,10,17.4,6.3,2.3,8.6,0.198,2.5,2,4.5,3.4,0.524,0.263,0.532,0.528,0.812,2.48214285714286,6.82142857142857,3.92857142857143,1.23214285714286,1.21428571428571,1.46428571428571,3.23214285714286,15.6428571428571,4,0.541,0.535,0.48,0.13,1.14,4.96,2.2,3.4,3.9
"3603",1997,"Kenny Anderson",0.186245353159851,"PG",26,82,81,37.5731707317073,19.5,0.54,0.322,0.383,3.6,10.2,7,31.7,2.8,0.4,12.7,22.2,8,4.4,12.4,0.193,4.3,0.8,5,5.5,0.427,0.361,0.458,0.485,0.768,1.10975609756098,3.31707317073171,7.1219512195122,1.97560975609756,0.182926829268293,2.35365853658537,2.70731707317073,17.5121951219512,4.7,0.544,0.545,0.63,0.35,-0.93,3.87,2.6,3.9,4.3
"6613",2003,"Fred Jones",0.0343521897810219,"SG",23,19,1,6.05263157894737,5.5,0.446,0.292,0.167,4,4.8,4.4,6.7,2.7,0.6,18.9,12.5,-0.1,0.1,0,0.019,-4,0.3,-3.7,0,0.375,0.286,0.412,0.417,0.75,0.210526315789474,0.263157894736842,0.263157894736842,0.315789473684211,0.0526315789473684,0.315789473684211,0.684210526315789,1.21052631578947,-3.2,0.522,0.522,0.74,-0.22,0.5,-4.29,-4.1,-4,0
"7406",2004,"Ryan Humphrey",0.0278814679735582,"PF",24,2,0,5.5,-1,0.25,0.25,0,20.3,10.4,15.4,13.9,4.8,0,33.3,24.6,-0.1,0,0,-0.217,-7.5,1.8,-5.8,0,0.25,0,0.333,0.25,0,1,0.5,0.5,0.5,0,1,1.5,1,-3.7,0.522,0.522,2.98,-0.5,-11.2,-6.4,-4.7,-4.8,0
"3813",1997,"Terry Cummings",0.0371747211895911,"PF",35,45,3,18.4,15.2,0.521,0.016,0.257,10.2,16.4,13.3,8.3,2.1,0.7,11.2,22.1,0.9,1.2,2.1,0.121,-1.6,-0.7,-2.3,-0.1,0.486,0.6,0.484,0.491,0.695,1.55555555555556,2.51111111111111,0.866666666666667,0.733333333333333,0.155555555555556,1,2.51111111111111,8.22222222222222,-2,0.557,0.559,-0.08,-0.21,-1.16,-2.75,-0.9,-1.5,0.1
"13578",2015,"Jason Thompson",0.091875,"PF",28,81,63,24.5802469135802,10.2,0.5,0.002,0.334,8.2,21.5,15.1,6.5,0.8,2.3,14.6,12.7,0.9,1.5,2.4,0.057,-2.6,0.9,-1.7,0.1,0.47,0,0.471,0.47,0.622,1.71604938271605,4.82716049382716,1.04938271604938,0.407407407407407,0.703703703703704,1.03703703703704,2.95061728395062,6.06172839506173,-1.7,0.542,0.544,-0.65,-0.27,0.34,-1.75,-1.1,-1.4,0.2
"2474",1995,"Greg Minor",0.0141304347826087,"SG",23,63,8,15,14.7,0.562,0.04,0.259,5.9,10.9,8.4,10.9,1.7,1.2,11.6,17.4,1.4,0.6,2.1,0.106,-0.2,-0.4,-0.6,0.3,0.515,0.167,0.529,0.518,0.833,0.777777777777778,1.3968253968254,1.04761904761905,0.507936507936508,0.253968253968254,0.698412698412698,1.41269841269841,5.98412698412698,-0.8,0.537,0.536,-0.26,-0.02,1.22,-1.14,-2.9,-1.8,0.1
"13784",2015,"Paul George",0.244572942857143,"SF",24,6,0,15.1666666666667,13,0.492,0.449,0.224,4.9,21.7,13.4,11.8,2.8,0.9,18.2,32.8,-0.2,0.2,0,-0.008,-2.7,-0.7,-3.3,0,0.367,0.409,0.333,0.459,0.727,0.666666666666667,3,1,0.833333333333333,0.166666666666667,2,1.83333333333333,8.83333333333333,-3.3,0.524,0.524,1.12,-0.02,-3.41,-3.99,-3.6,-3.6,0
