"","Year","Player","Salary","Pos","Age","G","GS","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","FG%","3P%","2P%","eFG%","FT%","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","bpm","team_ts","tm_ts_w_o_plyr","defense","val_shot","offense","raw_spm","exp_bpm","truetalentbpm","truetalentvorp"
"1577",1993,"John Stockton*",0.15272033089405,"PG",30,82,82,34.9146341463415,21.3,0.584,0.208,0.408,2.6,6.7,4.7,49.8,3.5,0.5,20.1,19.9,7.2,3.4,10.6,0.177,4.3,-1,3.3,3.8,0.486,0.385,0.513,0.526,0.798,0.780487804878049,2.10975609756098,12.0365853658537,2.42682926829268,0.25609756097561,3.24390243902439,2.73170731707317,15.109756097561,3,0.549,0.544,1.73,0.75,-3.99,2.35,1.8,2.6,3.3
"13425",2015,"Danny Green",0.142857142857143,"SG",27,81,80,28.5432098765432,16.5,0.596,0.619,0.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,4,3.9,7.8,0.163,2.8,2.2,5,4.1,0.436,0.418,0.466,0.566,0.874,0.666666666666667,3.5679012345679,1.95061728395062,1.24691358024691,1.07407407407407,1.14814814814815,2.01234567901235,11.679012345679,5,0.555,0.55,1.38,0.16,3.04,3.5,1.2,3.2,3.8
"7857",2005,"Lonny Baxter",0.0150555151515152,"PF",26,4,0,9,-8,0.253,0,0.182,12.6,13.7,13.2,0,0,0,25.2,20.5,-0.2,0,-0.2,-0.266,-14.4,-6.2,-20.6,-0.2,0.273,0,0.273,0.273,0,1,1,0,0,0,1,2.5,1.5,-18.5,0.493,0.493,-2.87,-0.75,-6.77,-19.27,-5.7,-7.6,0
"6647",2003,"Jamal Mashburn",0.194457116788321,"SF",30,82,81,40.5,18,0.507,0.193,0.233,2.3,15.3,8.7,26.2,1.3,0.4,11.6,27.1,5.4,3.6,9,0.13,2.4,-0.4,2,3.3,0.422,0.389,0.43,0.46,0.848,0.804878048780488,5.26829268292683,5.63414634146341,1.01219512195122,0.207317073170732,2.80487804878049,2.39024390243902,21.609756097561,1.9,0.511,0.512,-1.13,0.23,-0.76,1.96,2.9,2.4,3.2
"2024",1994,"Jerome Kersey",0.226008519168128,"SF",31,78,6,16.3589743589744,14.5,0.481,0.017,0.288,10.6,17.9,14.1,8.5,2.7,2.4,10.7,18.9,1.1,2,3.2,0.119,-1.3,1.7,0.4,0.8,0.433,0.125,0.438,0.434,0.748,1.66666666666667,2.57692307692308,0.961538461538462,0.91025641025641,0.628205128205128,0.807692307692308,2.73076923076923,6.51282051282051,0.3,0.519,0.521,1.58,-0.18,0,-0.01,-1.9,-0.8,0.5
"2853",1996,"Craig Ehlo",0.0147765053564832,"SG",34,79,8,22.253164556962,13.7,0.526,0.374,0.174,4.2,13.4,8.6,12.8,2.6,0.4,14,18.9,1.5,1.8,3.3,0.09,-0.2,-0.3,-0.4,0.7,0.428,0.371,0.462,0.497,0.786,0.822784810126582,2.41772151898734,1.74683544303797,1.07594936708861,0.113924050632911,1.31645569620253,1.74683544303797,8.46835443037975,-0.4,0.534,0.534,0.5,0.04,0.66,-0.03,-0.9,-0.6,0.6
"13772",2015,"Omri Casspi",0.0428571428571429,"SF",26,67,19,21.134328358209,14.4,0.58,0.204,0.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,2,0.6,2.7,0.091,0,-1.3,-1.3,0.3,0.489,0.402,0.512,0.53,0.733,0.805970149253731,3.07462686567164,1.52238805970149,0.462686567164179,0.134328358208955,1.3134328358209,1.59701492537313,8.85074626865672,-1.3,0.542,0.539,-1.23,0.05,0.55,-1.29,-1.8,-1.5,0.1
"1729",1993,"Scottie Pippen*",0.195672923958002,"SF",27,81,81,38.5555555555556,19.2,0.51,0.07,0.264,7.3,16,11.5,24,2.9,1.6,14.2,23.9,3.8,4.8,8.6,0.132,2,2.3,4.3,5,0.473,0.237,0.491,0.482,0.663,2.50617283950617,5.16049382716049,6.25925925925926,2.1358024691358,0.901234567901235,3.03703703703704,2.7037037037037,18.641975308642,4.3,0.535,0.54,1.56,0.12,-2.15,4.55,3.2,3.8,4.2
"1360",1993,"Adam Keefe",0.0763601654470251,"PF",22,82,6,18.890243902439,13.6,0.564,0.003,0.63,11.8,19.5,15.5,7,1.8,0.7,17.2,15.5,1.9,1.4,3.3,0.102,-1.2,0.1,-1,0.4,0.5,0,0.501,0.5,0.7,2.08536585365854,3.18292682926829,0.975609756097561,0.695121951219512,0.195121951219512,1.21951219512195,2.3780487804878,6.60975609756098,-0.9,0.534,0.532,-0.3,-0.06,1.35,-0.6,-1.8,-1.4,0.2
"13179",2014,"Reggie Jackson",0.0349539364148101,"PG",23,80,36,28.4625,15.4,0.527,0.267,0.193,2.2,12.8,7.8,23.1,1.9,0.3,14.5,22.6,2.3,2.6,4.9,0.104,0.1,-0.5,-0.4,0.9,0.44,0.339,0.477,0.485,0.893,0.5375,3.375,4.1375,1.0625,0.1125,2.1,1.775,13.0875,-0.2,0.567,0.572,-0.32,0.09,-2.65,-0.85,1.2,0.3,1.3
"9888",2009,"Chris Duhon",0.10453726169844,"PG",26,79,78,36.7848101265823,12.2,0.569,0.477,0.307,1.6,7.8,4.6,27.9,1.2,0.2,22.2,14.9,3.1,1,4.2,0.069,0.1,-1.5,-1.4,0.4,0.421,0.391,0.449,0.515,0.856,0.569620253164557,2.54430379746835,7.16455696202532,0.911392405063291,0.0886075949367089,2.79746835443038,1.59493670886076,11.1392405063291,-4.8,0.543,0.543,-0.88,-0.03,-1.09,-4.32,-3.3,-4,0
"10944",2011,"Al Jefferson",0.241196333815726,"C",26,82,82,35.8536585365854,20.1,0.528,0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,0,0.1,0.1,1.5,0.496,0,0.496,0.496,0.761,2.86585365853659,6.81707317073171,1.81707317073171,0.560975609756098,1.86585365853659,1.28048780487805,2.90243902439024,18.6341463414634,-0.2,0.544,0.547,0.41,-0.16,-0.75,1.02,1.4,0.7,1.6
"8400",2006,"Kobe Bryant",0.333466641573351,"SG",27,80,80,40.9625,28,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,11.6,3.7,15.3,0.224,7.3,-1.5,5.8,6.5,0.45,0.347,0.482,0.491,0.85,0.8875,4.425,4.5,1.8375,0.375,3.125,2.9125,35.4,5.4,0.539,0.529,0.63,0.27,2.26,6.33,3.1,4.6,4.8
"4932",2000,"Anfernee Hardaway",0.285352112676056,"SG",28,60,60,37.55,17.9,0.549,0.128,0.358,4.6,12.4,8.6,22.8,2.1,1.2,14.2,21.1,4.2,3.6,7.8,0.165,1.8,1.7,3.6,3.2,0.474,0.324,0.496,0.494,0.79,1.51666666666667,4.26666666666667,5.25,1.56666666666667,0.633333333333333,2.55,2.73333333333333,16.9166666666667,3.4,0.532,0.53,0.34,0.2,-0.67,3.1,2.7,3.1,3.7
"11903",2012,"Leandro Barbosa",0.0211779856660464,"SG",29,64,0,21.59375,14,0.512,0.267,0.195,2.8,7.9,5.3,13.3,2.2,0.4,12,26.5,0.5,1.2,1.7,0.06,0,-2,-2,0,0.425,0.382,0.441,0.476,0.815,0.515625,1.484375,1.5,0.875,0.109375,1.46875,2.109375,11.0625,-2.1,0.518,0.518,-0.17,0.02,-0.61,-2.33,-1.8,-2,0
"7662",2005,"David Wesley",0.102424242424242,"SG",34,80,79,34.675,11.8,0.513,0.375,0.225,1.6,8,4.8,16.5,1.9,0.3,10.9,17.5,2.3,2.8,5.2,0.089,0.3,0.1,0.4,1.6,0.398,0.375,0.411,0.468,0.857,0.475,2.375,3.3125,1.2,0.1125,1.4125,2.6875,11.85,1.5,0.535,0.535,-0.45,0.11,1.62,0.34,1.8,1.6,2.6
"3492",1997,"Felton Spencer",0.0809702230483271,"C",29,73,65,21.3424657534247,9.2,0.524,0,0.567,11.9,19.8,15.8,2.1,1.1,2.5,19.9,12.7,0.4,0.9,1.3,0.04,-3.4,-0.6,-4,-0.8,0.489,0,0.489,0.489,0.584,2.15068493150685,3.54794520547945,0.301369863013699,0.465753424657534,0.684931506849315,1.20547945205479,3.76712328767123,5.0958904109589,-3.8,0.543,0.544,-0.26,-0.29,1.5,-3.64,-2,-3.1,-0.1
"5800",2001,"P.J. Brown",0.150701176470588,"C",31,80,79,35.1375,13.3,0.518,0.007,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,3.4,4.7,8,0.137,-1.3,2.8,1.5,2.5,0.444,0,0.447,0.444,0.852,3.2125,6.0625,1.5875,0.975,1.15,1.35,3.25,8.45,1.5,0.506,0.505,0.19,-0.11,1.67,2.13,1.7,1.6,2.6
"3100",1996,"Marty Conlon",0.049255017854944,"C",28,74,1,12.9459459459459,12.2,0.526,0.092,0.336,7.3,15.5,11.3,11.7,1.1,0.9,17.4,21.7,0.1,0.5,0.6,0.028,-2.6,-1.7,-4.3,-0.6,0.468,0.167,0.498,0.476,0.764,0.783783783783784,1.60810810810811,0.918918918918919,0.27027027027027,0.148648648648649,1.06756756756757,1.7027027027027,5.33783783783784,-4,0.534,0.535,-1.12,-0.06,-1.32,-3.94,-3.7,-4,0
"4311",1998,"Scott Burrell",0.0333333333333333,"SF",27,80,3,13.7,15.7,0.516,0.384,0.171,8.3,12.4,10.3,9.5,3.1,2.5,11,18.5,1.5,2.2,3.7,0.163,0.9,1.8,2.8,1.3,0.424,0.354,0.468,0.492,0.734,1,1.475,0.8125,0.8,0.4625,0.625,1.6375,5.2,2.7,0.516,0.516,2.11,0.02,1.95,1.99,-1.6,0.5,1.4
"2411",1995,"Doc Rivers",0.05,"PG",33,63,0,15.6984126984127,12.2,0.475,0.421,0.272,1.8,10.3,6.3,23.3,3.3,1.5,15.1,17.7,0.3,1.7,2,0.097,-0.7,1.4,0.7,0.7,0.358,0.354,0.36,0.432,0.732,0.238095238095238,1.49206349206349,2.57142857142857,1.03174603174603,0.333333333333333,0.952380952380952,2.38095238095238,5.09523809523809,0.7,0.562,0.566,1.91,0.06,-2.21,-1.08,-1.5,-0.5,0.6
"12250",2013,"Devin Harris",0.0216820157126059,"SG",29,58,34,24.5,14.6,0.565,0.519,0.348,0.5,8.7,4.7,21.7,2.3,0.7,14.7,19.5,1.8,1.5,3.3,0.111,0.9,-0.9,-0.1,0.7,0.438,0.335,0.549,0.525,0.727,0.103448275862069,1.89655172413793,3.39655172413793,1.10344827586207,0.224137931034483,1.51724137931034,1.77586206896552,9.94827586206897,-0.1,0.546,0.544,0.24,0.28,0.32,0.07,-0.7,-0.4,0.7
"7629",2005,"Corliss Williamson",0.121212121212121,"PF",31,72,9,21.2083333333333,14.7,0.536,0.003,0.418,7.6,11.5,9.5,8.6,1.3,0.8,11.1,22.6,2,1.2,3.3,0.103,-1.7,-1.8,-3.4,-0.6,0.467,0,0.469,0.467,0.799,1.44444444444444,2.15277777777778,1.08333333333333,0.527777777777778,0.208333333333333,1.19444444444444,3.02777777777778,10.2916666666667,-3.7,0.528,0.528,-0.89,-0.14,-0.44,-3.19,-1.4,-2.6,-0.1
"10930",2010,"Yi Jianlian",0.0697832506374474,"PF",22,52,51,31.8269230769231,12.3,0.481,0.073,0.343,7.7,18.7,13,4.9,1.2,2.3,10.6,20.1,0,1.3,1.3,0.037,-3.4,-0.6,-4,-0.8,0.403,0.366,0.406,0.417,0.798,2.21153846153846,4.94230769230769,0.903846153846154,0.711538461538462,1,1.48076923076923,3.26923076923077,11.9807692307692,-3.9,0.509,0.512,-0.04,-0.24,-0.35,-2.18,-0.7,-2.4,-0.1
"7114",2004,"Elton Brand",0.274811944381126,"PF",24,69,68,38.695652173913,23.2,0.567,0.001,0.542,11.4,19.1,15.2,16,1.3,4.2,13.7,23.4,7.9,1.8,9.7,0.174,3.6,1.5,5.1,4.8,0.493,0,0.493,0.493,0.773,3.89855072463768,6.44927536231884,3.28985507246377,0.927536231884058,2.23188405797101,2.79710144927536,3.31884057971015,19.9855072463768,4.6,0.512,0.501,0.82,0.14,0.54,5.79,1.6,3.5,4
"1878",1994,"Chris Mills",0.0529315960912052,"SF",24,79,18,25.5949367088608,12.6,0.492,0.18,0.26,7.7,15.4,11.5,9.8,1.4,1.6,10.6,18.7,1.7,2.4,4,0.096,-0.8,0.3,-0.5,0.8,0.419,0.311,0.443,0.448,0.778,1.69620253164557,3.37974683544304,1.62025316455696,0.683544303797468,0.632911392405063,1.12658227848101,2.93670886075949,9.40506329113924,-0.3,0.537,0.542,-0.47,-0.13,0.27,-0.92,0.2,-0.2,0.9
"4863",1999,"Terry Mills",0.015,"PF",31,1,0,29,6.7,0.507,0.5,0.25,13.5,3.9,8.3,0,2,0,25.3,20.3,0,0,0,-0.015,-3.1,-4.2,-7.3,0,0.375,0.5,0.25,0.5,0.5,3,1,0,1,0,3,3,9,-5.9,0.54,0.54,-0.65,-0.18,-0.11,-8.7,-3.5,-3.9,0
"8985",2007,"Marcus Banks",0.0712961891065972,"PG",25,45,1,11.1777777777778,11.3,0.497,0.148,0.306,2.4,6.2,4.4,17.4,2.3,0.4,15.2,23.5,-0.1,0.4,0.4,0.037,-2.8,-1.3,-4.1,-0.3,0.429,0.172,0.473,0.441,0.8,0.222222222222222,0.622222222222222,1.33333333333333,0.511111111111111,0.0666666666666667,0.888888888888889,1.55555555555556,4.91111111111111,-3.6,0.59,0.593,0.36,-0.13,-4.11,-6.26,-2.3,-3,-0.1
"825",1991,"Scott Skiles",0.154,"PG",26,79,66,34.3544303797468,17.8,0.563,0.219,0.363,2.2,8.8,5.4,36.7,1.6,0.1,17.3,21.8,5.5,1.5,7,0.124,3.3,-1.7,1.6,2.5,0.445,0.408,0.455,0.489,0.902,0.721518987341772,2.69620253164557,8.35443037974684,1.12658227848101,0.0506329113924051,3.18987341772152,2.43037974683544,17.1772151898734,1.4,0.521,0.514,-0.82,0.55,-1.18,1.38,0.8,1.2,2.2
"1646",1993,"Mark Randall",0.0763601654470251,"PF",25,37,0,6.7027027027027,11.9,0.53,0.1,0.325,11.5,13.1,12.3,6.6,0.8,0.5,15.7,18.8,0.1,0.2,0.3,0.061,-2.2,-1.7,-3.9,-0.1,0.5,0.125,0.542,0.506,0.615,0.72972972972973,0.756756756756757,0.297297297297297,0.108108108108108,0.0540540540540541,0.459459459459459,0.891891891891892,2.62162162162162,-3,0.511,0.511,-1.54,-0.06,1.26,-3.54,-4.4,-4,0
"9183",2008,"Adonal Foyle",0.0215111622358555,"C",32,82,0,9.4390243902439,9.9,0.464,0,0.222,11,19.6,15.5,3.4,1.1,4.2,16,11.8,0,1.3,1.3,0.08,-4.4,2.4,-2,0,0.458,0,0.458,0.458,0.471,0.865853658536585,1.67073170731707,0.219512195121951,0.195121951219512,0.548780487804878,0.390243902439024,1.14634146341463,1.90243902439024,-1.8,0.575,0.577,0.83,-0.45,0.2,-3.75,-2.9,-2.5,-0.1
"13753",2015,"Nazr Mohammed",0.00503928571428571,"C",37,23,0,5.56521739130435,8.7,0.431,0,0.1,9.6,22.3,16.1,3.6,1.6,2.8,18.3,13.4,-0.1,0.2,0.1,0.04,-6.1,0.9,-5.3,-0.1,0.433,0,0.433,0.433,0.333,0.478260869565217,1.17391304347826,0.130434782608696,0.173913043478261,0.217391304347826,0.304347826086957,0.695652173913043,1.17391304347826,-5.3,0.536,0.537,0.62,-0.44,-0.69,-5.43,-4.1,-4.4,0
"9739",2008,"Travis Outlaw",0.0681663258350375,"PF",23,82,6,26.6585365853659,15.7,0.499,0.105,0.305,5.2,15,10.1,8.9,1.5,2.2,8.9,26,0.9,2.3,3.2,0.071,-1.6,-0.1,-1.8,0.1,0.433,0.396,0.437,0.453,0.741,1.17073170731707,3.41463414634146,1.29268292682927,0.719512195121951,0.768292682926829,1.30487804878049,2.10975609756098,13.3170731707317,-1.8,0.532,0.537,0.27,-0.17,-1.63,-2.5,-0.3,-1.1,0.3
"9786",2009,"Al Horford",0.0746558058925477,"C",22,67,67,33.4626865671642,17,0.565,0.002,0.345,7.6,25,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,6.8,0.145,-0.7,3.1,2.3,2.5,0.525,0,0.526,0.525,0.727,2.16417910447761,7.14925373134328,2.43283582089552,0.791044776119403,1.41791044776119,1.53731343283582,2.83582089552239,11.5373134328358,2,0.546,0.544,0.59,-0.03,0.12,2.47,1.4,1.9,2.8
"10580",2010,"Ian Mahinmi",0.0131313486320722,"C",23,26,0,6.34615384615385,21.6,0.667,0,0.855,9.4,27.2,18.5,2.1,1,3.5,16.5,25.2,0.4,0.3,0.7,0.206,-2.3,-1.6,-3.9,-0.1,0.636,0,0.636,0.636,0.66,0.5,1.5,0.0769230769230769,0.115384615384615,0.307692307692308,0.576923076923077,1.23076923076923,3.88461538461538,-4,0.552,0.551,0.35,-0.01,1.48,-5.29,-3.6,-3.7,0
"9135",2007,"T.J. Ford",0.143807298220385,"PG",23,75,71,29.9066666666667,18.2,0.508,0.076,0.325,2.7,9.7,6.2,44.8,2.3,0.3,18.3,26.1,2,2.3,4.3,0.091,1.1,-0.5,0.6,1.5,0.436,0.304,0.447,0.447,0.819,0.706666666666667,2.44,7.93333333333333,1.34666666666667,0.106666666666667,3.08,2.48,13.96,0.8,0.55,0.557,0.31,0.41,-5.55,-0.26,0.6,0.6,1.5
"12604",2013,"Serge Ibaka",0.208762930520288,"PF",23,80,80,31.075,19.4,0.612,0.073,0.246,11.1,17,14.2,2.8,0.6,7.4,12.7,18.1,5.3,4.1,9.4,0.181,0.2,1.9,2.1,2.6,0.573,0.351,0.591,0.586,0.749,2.775,4.9375,0.5375,0.35,3.025,1.5625,2.6625,13.1875,1.9,0.58,0.576,1.67,-0.14,1.7,0.96,2.1,2.1,3
"2842",1996,"Chuck Person",0.0845544473176538,"SF",31,80,16,26.6375,13.6,0.581,0.657,0.148,4.1,16.9,10.8,7.2,1.2,0.9,10.8,17.8,2.4,3.1,5.5,0.125,1.8,0.1,1.9,2.1,0.437,0.41,0.488,0.572,0.644,0.95,4.2125,1.25,0.6125,0.325,1.1375,2.4625,10.9125,2,0.558,0.555,-1,0.1,3.67,0.25,0.7,1.3,2.3
"8150",2006,"Ben Gordon",0.0726842947209937,"SG",22,80,47,31.025,14.5,0.531,0.332,0.233,2,8.1,5.1,17.3,1.6,0.2,12.4,26.3,1.8,2.6,4.4,0.086,1.2,-1,0.2,1.4,0.422,0.435,0.416,0.494,0.787,0.5375,2.2,3,0.9375,0.0625,2.25,2.975,16.8625,0.3,0.527,0.527,-0.64,0.13,-0.05,-0.8,0.8,0.5,1.4
"734",1991,"Mark Jackson",0.1,"PG",25,72,21,22.1527777777778,18.2,0.545,0.1,0.315,4.6,9.5,7.1,42.2,1.9,0.3,18.9,19.5,2.7,1.5,4.2,0.126,1.7,-1.4,0.4,1,0.492,0.255,0.519,0.505,0.731,0.861111111111111,1.875,6.27777777777778,0.833333333333333,0.125,1.875,1.125,8.75,0.3,0.544,0.544,-0.34,0.51,-4.08,0.04,-1.2,-0.4,0.7
"13389",2015,"Carmelo Anthony",0.326785714285714,"SF",30,40,40,35.7,21.5,0.531,0.222,0.294,5.7,16,10.7,18,1.5,1,8.9,32.2,2.2,0.6,2.9,0.097,3.5,-2.2,1.4,1.2,0.444,0.341,0.474,0.482,0.797,1.8,4.8,3.05,1,0.425,2.225,2.175,24.15,1.4,0.508,0.505,-0.46,0.13,0.73,3.36,-0.2,0.6,1.5
"6368",2002,"Shane Battier",0.0588065853840232,"SF",23,78,78,39.7051282051282,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,0.074,0.9,0.9,1.9,3,0.429,0.373,0.451,0.482,0.7,2.30769230769231,3.05128205128205,2.76923076923077,1.55128205128205,1.03846153846154,1.98717948717949,2.75641025641026,14.4230769230769,1.7,0.501,0.498,0.61,0.06,1.24,3.05,1.4,1.6,2.6
"13848",2015,"Shaun Livingston",0.0791960714285714,"PG",29,78,2,18.8205128205128,12.9,0.529,0.005,0.23,3.3,10,6.7,24.2,1.6,1,19,15.9,1.5,1.8,3.3,0.107,-2.1,0.4,-1.7,0.1,0.5,0,0.503,0.5,0.714,0.551282051282051,1.79487179487179,3.32051282051282,0.628205128205128,0.256410256410256,1.30769230769231,1.41025641025641,5.91025641025641,-1.7,0.572,0.574,-0.33,0.03,-3.79,-3.03,-0.3,-1,0.4
"3017",1996,"Jim Jackson",0.160078808028568,"SG",25,82,82,34.390243902439,16.6,0.538,0.255,0.32,5.9,9.7,7.6,14.3,0.8,0.5,11.3,24.9,4.8,0.6,5.4,0.092,1.5,-2.6,-1.1,0.6,0.435,0.363,0.459,0.481,0.825,2.10975609756098,2.89024390243902,2.86585365853659,0.573170731707317,0.268292682926829,2.32926829268293,2.01219512195122,19.5609756097561,-1.2,0.507,0.5,-1.71,0.12,1.52,0.77,0.7,-0.3,0.8
"5249",2000,"Michael Doleac",0.0409014084507042,"C",22,81,29,16.4814814814815,13.3,0.49,0.004,0.178,7.3,20,13.6,7.6,1.1,1.8,10.1,20.2,1.1,1.9,3,0.106,-2.2,0,-2.3,-0.1,0.452,0.5,0.452,0.453,0.842,1.09876543209877,3.02469135802469,0.777777777777778,0.358024691358025,0.419753086419753,0.802469135802469,2.76543209876543,6.97530864197531,-2.3,0.516,0.518,-0.6,-0.19,-0.17,-3.36,-2.1,-2.2,0
"6554",2003,"Dan Dickau",0.0190510948905109,"PG",24,50,0,10.3,9.9,0.504,0.359,0.153,2.1,7.2,4.8,28.3,1.4,0.3,22.6,20.9,-0.1,0.1,0,0.001,-2.2,-4.1,-6.3,-0.6,0.412,0.361,0.44,0.476,0.808,0.18,0.68,1.7,0.28,0.04,1.06,1.32,3.66,-5.7,0.527,0.527,-1.05,0.27,-3.55,-5.64,-4.1,-5,0
"11566",2012,"Alec Burks",0.0374136861691131,"SG",20,59,0,15.9152542372881,14,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.2,-2.2,-2.5,-0.1,0.429,0.333,0.442,0.45,0.727,0.966101694915254,1.27118644067797,0.932203389830508,0.457627118644068,0.0847457627118644,0.864406779661017,1.42372881355932,7.20338983050847,-0.5,0.505,0.503,0.38,0,0.44,1.05,-1,-0.7,0.5
"11366",2011,"Mickael Pietrus",0.0913100406588106,"SG-SF",28,57,4,19.4210526315789,9.8,0.526,0.647,0.156,1.6,11.5,6.6,4.6,1.3,1.4,9.1,17.6,0.3,1,1.3,0.055,-0.7,-0.7,-1.4,0.2,0.392,0.36,0.45,0.508,0.684,0.263157894736842,1.94736842105263,0.578947368421053,0.508771929824561,0.368421052631579,0.684210526315789,1.7719298245614,7.19298245614035,-0.3,0.542,0.54,-1.16,0.28,1.18,-0.05,0.2,-0.1,1
"2069",1994,"Kevin Willis",0.186356802806314,"PF",31,80,80,35.8375,19.4,0.538,0.019,0.299,12.8,24.2,18.5,8.7,1.4,0.9,11.7,24.1,5.1,5.1,10.2,0.17,0.8,0.3,1.1,2.2,0.499,0.375,0.501,0.502,0.713,4.1875,7.85,1.875,0.9875,0.475,2.35,3.125,19.1375,1.2,0.523,0.52,-0.85,-0.06,0.46,0.88,2.4,1.7,2.7
"10836",2010,"Rudy Gay",0.234369616153263,"SF",23,80,80,39.6875,16.2,0.535,0.157,0.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,4,2.4,6.4,0.096,0.7,-0.2,0.4,1.9,0.466,0.327,0.492,0.491,0.753,1.4375,4.4625,1.9125,1.475,0.8,2.1125,2.5125,19.5875,0.3,0.536,0.536,0.42,-0.1,0.15,0.38,2.2,1.2,2.2
"11773",2012,"Ian Mahinmi",0.0689132382330646,"C",25,61,12,18.672131147541,13.5,0.585,0.004,0.618,10.7,17.7,14.3,1.7,1.8,2.2,14.2,14.4,1.7,1.7,3.4,0.144,-1.9,0.8,-1.2,0.2,0.546,0,0.549,0.546,0.639,1.77049180327869,2.9672131147541,0.19672131147541,0.622950819672131,0.508196721311475,0.819672131147541,2.88524590163934,5.80327868852459,-1.1,0.527,0.524,0.43,-0.13,2.74,-1.67,-1.6,-1.4,0.2
"1326",1992,"Tony Campbell",0.0987857142857143,"SF",29,78,41,31.2948717948718,15.3,0.515,0.033,0.263,6.2,6.8,6.5,14.8,1.7,0.8,11.5,25,1.9,0.6,2.5,0.048,0.8,-1.9,-1.1,0.6,0.464,0.351,0.467,0.469,0.803,1.80769230769231,1.85897435897436,2.93589743589744,1.07692307692308,0.397435897435897,2.11538461538462,2.64102564102564,16.7564102564103,-1.1,0.505,0.503,-0.39,0.05,-0.06,0.19,-0.3,-0.7,0.5
"11365",2011,"Michael Redd",0.0225433464268486,"SG",31,10,0,13.4,9.7,0.47,0.378,0.089,0,7.1,3.5,15.6,0.8,0.6,7.9,17.7,0,0.1,0.1,0.048,-3,-2.1,-5.1,-0.1,0.4,0.235,0.5,0.444,1,0,0.8,1.2,0.2,0.1,0.4,0.4,4.4,-1.7,0.559,0.561,-0.06,-0.1,1.85,-2.98,-2.1,-2,0
"513",1991,"Byron Scott",0.088,"SG",29,82,82,32.0731707317073,14.2,0.534,0.208,0.141,2.5,8.1,5.4,10.3,1.8,0.5,7.1,19.9,3.6,2.9,6.6,0.12,0.9,-0.1,0.9,1.9,0.477,0.324,0.517,0.51,0.797,0.658536585365854,2.34146341463415,2.15853658536585,1.15853658536585,0.25609756097561,1.03658536585366,1.78048780487805,14.5243902439024,0.9,0.551,0.554,-0.36,-0.04,1.48,-0.43,1.9,1.4,2.4
"1134",1992,"Kenny Payne",0.0357142857142857,"SF",25,49,3,7.20408163265306,11.9,0.478,0.083,0.09,4.3,13.2,8.8,7.7,2.3,1.4,11.2,21.1,-0.2,0.3,0.2,0.025,-3.7,-1.3,-5,-0.3,0.448,0.417,0.451,0.466,0.692,0.26530612244898,0.836734693877551,0.346938775510204,0.326530612244898,0.163265306122449,0.387755102040816,0.693877551020408,2.93877551020408,-4.7,0.539,0.54,0.68,-0.21,-0.91,-4.78,-4.4,-4.6,0
"10460",2010,"Chris Kaman",0.20329405278754,"C",27,76,76,34.3157894736842,16.5,0.527,0.005,0.255,8.1,23.2,15.6,8.6,0.7,2.7,14.3,27.1,0,2.4,2.4,0.044,-2.8,-0.4,-3.2,-0.8,0.49,0,0.492,0.49,0.749,2.42105263157895,6.84210526315789,1.57894736842105,0.486842105263158,1.23684210526316,2.93421052631579,2.80263157894737,18.5263157894737,-3.1,0.529,0.529,-0.45,-0.14,-2.32,-2.22,0.4,-1.5,0.1
"8095",2005,"Zaza Pachulia",0.0808080808080808,"C",20,74,4,18.8783783783784,14.4,0.526,0.003,0.523,10.9,20.9,15.9,6.8,1.7,1.8,13.9,16.5,1.6,1.3,2.9,0.099,-1.3,0.7,-0.6,0.5,0.452,0,0.453,0.452,0.746,1.77027027027027,3.33783783783784,0.810810810810811,0.594594594594595,0.459459459459459,0.945945945945946,2.24324324324324,6.18918918918919,-0.6,0.527,0.527,0.22,-0.16,0.4,-1.1,-2.3,-1.4,0.2
"8357",2006,"John Lucas",0.0131739907782065,"PG",23,13,0,8.23076923076923,7.7,0.417,0.25,0,2.2,3.2,2.7,20.3,2.5,0,16.3,19.2,-0.2,0.1,-0.1,-0.027,-4.9,-2,-7,-0.1,0.389,0.222,0.444,0.417,0,0.153846153846154,0.230769230769231,0.923076923076923,0.384615384615385,0,0.538461538461538,0.461538461538462,2.30769230769231,-6.4,0.519,0.519,0.39,-0.06,-3.62,-6.89,-4.5,-5.1,0
